Names,Low,High,csp,links
Nippon india etf psu bank bees,31,61,,"https://www.tickertape.in/etfs/nippon-india-nifty-psu-bank-bees-etf-PSUB#:~:text=PSUBNKBEES%20%2D%20Live%20Price%20At%20%E2%82%B9,Bank%20BeES%20Latest%20Updates%20Today"
Mirae Asset Nyse Fang+ Etf Share Price MAFANG EQ,33.9,64.4,,"https://www.tickertape.in/etfs/mirae-asset-nyse-fang-etf-MAFAN#:~:text=MAFANG%20%2D%20Live%20Price%20At%20%E2%82%B9,FANG%2B%20ETF%20Latest%20Updates%20Today"
nippon-india-etf-nifty-it,27.1,36.68,,https://www.tickertape.in/etfs/nippon-india-etf-nifty-it-NIPD
Nippon India ETF Hang Seng BeES,210,321,,https://www.tickertape.in/etfs/nippon-india-hang-seng-bees-etf-HNGS
Nippon India ETF Gold BeES,37,52,,https://www.tickertape.in/etfs/nippon-india-gold-bees-etf-GBES
CPSE ETF,29.57,60,,https://www.tickertape.in/etfs/cpse-etf-GOMS
Nippon India ETF Nifty BeES,153,223.2,,https://www.tickertape.in/etfs/nippon-india-nifty-50-bees-etf-NBES
Motilal-NASDAQ 100,84.4,129.9,,"https://www.tickertape.in/etfs/motilal-oswal-nasdaq-100-etf-N100#:~:text=MON100%20%2D%20Live%20Price%20At%20%E2%82%B9,100%20ETF%20Latest%20Updates%20Today"
Mirae Asset Hang Seng TECH ETF / MAHKTECH,10,16,,https://www.tickertape.in/etfs/mirae-asset-hang-seng-tech-etf-MAHK
SBI ETF Sensex,612,735,,https://www.tickertape.in/etfs/sbi-sensex-30-etf-SBIS
Nippon ETF Nifty Midcap 150,112,163.45,,https://www.tickertape.in/etfs/nippon-india-nifty-midcap-150-etf-NTFM
Nippon India Silver ETF,46,76,,https://www.tickertape.in/etfs/nippon-india-silver-etf-NETFS
MIRAEAMC - MASPTOP50,23,34,,https://www.tickertape.in/etfs/mirae-asset-sandp-500-top-50-etf-MASP
Nippon India ETF Junior BeES,384,500,,https://www.tickertape.in/etfs/nippon-india-junior-bees-etf-JBES
ICICI Prudential NV20 ETF  (ICICINV20),75,118.85,,https://www.tickertape.in/etfs/icici-prudential-nv20-etf-ICIN
LIC MF ETF-Nifty 50 (LICNETFN50),164,224,,https://www.tickertape.in/etfs/lic-mf-nifty-50-etf-LICO
Aditya Birla Sun Life Nifty IT ETF - Growth,26,35,,https://www.tickertape.in/etfs/aditya-birla-sun-life-nifty-it-etf-TECT
Aditya Birla Sun Life NIFTY Healthcare ETF,6,10,,https://www.tickertape.in/etfs/aditya-birla-sun-life-nifty-healthcare-etf-HEALT
Axis Banking ETF,387.38,480,,https://www.tickertape.in/etfs/axis-banking-etf-AXIS
Axis Nifty ETF,179,218,,https://www.tickertape.in/etfs/axis-nifty-50-etf-AISN
Axis Nifty Healthcare ETF,66,101,,https://www.tickertape.in/etfs/axis-healthcare-etf-AXISH
Axis Nifty India Consumption ETF,71,88,,https://www.tickertape.in/etfs/axis-consumption-etf-AXISC
BHARAT 22 ETF - Growth,49,78,,https://www.tickertape.in/etfs/bharat-22-etf-ICPR
DSP NIFTY 1D Rate Liquid ETF - IDCW Daily,995,1030,,https://www.tickertape.in/etfs/dsp-blackrock-liquid-etf-DSPL
DSP NIFTY 50 Equal Weight ETF - Growth,194,260,,"https://www.tickertape.in/etfs/dsp-nifty-50-equal-weight-etf-DSP#:~:text=DSPNEWETF%20%2D%20Live%20Price%20At%20%E2%82%B9,weight%20ETF%20Latest%20Updates%20Today"
ICICI Prudential FMCG ETF,421,561,,"https://www.tickertape.in/etfs/icici-prudential-fmcg-etf-ICICF#:~:text=ICICIFMCG%20%2D%20Live%20Price%20At%20%E2%82%B9,FMCG%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Healthcare ETF,73,100,,"https://www.tickertape.in/etfs/icici-prudential-healthcare-etf-ICICI#:~:text=ICICIPHARM%20%2D%20Live%20Price%20At%20%E2%82%B9,Healthcare%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Nifty 100 ETF,178,225,,"https://www.tickertape.in/etfs/icici-prudential-nifty-100-etf-ICIC#:~:text=ICICINF100%20%2D%20Live%20Price%20At%20%E2%82%B9,100%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Nifty 100 Low Volatility 30 ETF,133,170,,"https://www.tickertape.in/etfs/icici-prudential-nifty-100-low-vol-30-etf-IICI#:~:text=ICICILOVOL%20%2D%20Live%20Price%20At%20%E2%82%B9,30%20ETF%20Latest%20Updates%20Today"
ICICI Pru Nifty Alpha Low- Volatility 30 ETF,161,205,,"https://www.tickertape.in/etfs/icici-prudential-alpha-low-vol-30-etf-ICIH#:~:text=ICICIALPLV%20%2D%20Live%20Price%20At%20%E2%82%B9,30%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Nifty India Consumption ETF,71,100,,https://www.tickertape.in/etfs/icici-prudential-consumption-etf-ICICC
ICICI Prudential Nifty 50 ETF-IDCW,172,228,,"https://www.tickertape.in/etfs/icici-prudential-nifty-50-etf-ICNI#:~:text=ICICINIFTY%20%2D%20Live%20Price%20At%20%E2%82%B9,Nifty%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Nifty Midcap 150 ETF,112,159,,"https://www.tickertape.in/etfs/icici-prudential-nifty-midcap-150-etf-IICP#:~:text=ICICIM150%20%2D%20Live%20Price%20At%20%E2%82%B9,150%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Nifty Next 50 ETF,37,52,,"https://www.tickertape.in/etfs/icici-prudential-nifty-next-50-etf-ICIT#:~:text=ICICINXT50%20%2D%20Live%20Price%20At%20%E2%82%B9,50%20ETF%20Latest%20Updates%20Today"
ICICI Prudential Nifty Private Bank ETF - Growth,194,238,,https://www.tickertape.in/etfs/icici-prudential-nifty-bank-etf-ICIV
ICICI Prudential S&P BSE Liquid Rate ETF,990,1200,,https://www.tickertape.in/etfs/icici-prudential-liquid-etf-ICIP
ICICI Prudential S&P BSE Sensex ETF,626,755,,https://www.tickertape.in/etfs/icici-prudential-sensex-30-etf-ICII
Kotak IT ETF,27,34,,https://www.tickertape.in/etfs/kotak-it-etf-KOTA
Kotak Nifty 50 ETF-IDCW,179,218,,https://www.tickertape.in/etfs/kotak-nifty-50-etf-KOTK
Kotak Nifty Alpha 50 ETF,24,36,,https://www.tickertape.in/etfs/kotak-nifty-alpha-50-etf-KOTAK
Kotak Mahindra Asset Management Company Limited (KOTAKBKETF),391,475,,https://www.tickertape.in/etfs/kotak-nifty-bank-etf-KOTM?chartScope=1y
Kotak Nifty PSU Bank ETF,290,541,,"https://www.tickertape.in/etfs/kotak-nifty-psu-bank-etf-KTPU#:~:text=KOTAKPSUBK%20%2D%20Live%20Price%20At%20%E2%82%B9,Bank%20ETF%20Latest%20Updates%20Today"
Kotak Nifty 50 Value 20 ETF-IDCW,94,119,,https://www.tickertape.in/etfs/kotak-nv20-etf-KONV
LIC Nomura MF ETF - Nifty 100,178,218,,https://www.tickertape.in/etfs/lic-mf-nifty-100-etf-LICU
LIC Nomura MF ETF - NIFTY 50 - Growth Plan,181,224,,https://www.tickertape.in/etfs/lic-mf-nifty-50-etf-LICO?chartScope=1y
LIC MF ETF-Sensex,612,800,,https://www.tickertape.in/etfs/lic-mf-sensex-30-etf-LICM?chartScope=1y
Motilal Oswal Nifty Midcap 100 ETF-Growth,30,44,,https://www.tickertape.in/etfs/motilal-oswal-nifty-midcap-100-etf-M100
Nippon India ETF Nifty 50 Shariah BeES,380,458,,https://www.tickertape.in/etfs/nippon-india-nifty-shariah-bees-etf-SBET
Nippon India ETF Nifty Bank BeES,385,471,,https://www.tickertape.in/etfs/nippon-india-nifty-bank-bees-etf-BBES
Nippon India ETF Nifty Infrastructure BeES,509,658,,"https://www.tickertape.in/etfs/nippon-india-nifty-infra-bees-etf-IFRB#:~:text=INFRABEES%20%2D%20Live%20Price%20At%20%E2%82%B9,Infra%20BeES%20Latest%20Updates%20Today"
SBI - ETF Quality,142,178,,https://www.tickertape.in/etfs/sbi-nifty-200-quality-30-etf-SIET?chartScope=1y
SBI ETF Consumption,70,100,,https://www.tickertape.in/etfs/sbi-etf-consumption-SBIEF#:~:text=SBIETFCON%20%2D%20Live%20Price%20At%20%E2%82%B9%2087.94%20SBI%20ETF%20Consumption%20Latest%20Updates%20Today
SBI ETF IT,276,353,,https://www.tickertape.in/etfs/sbi-etf-it-SBIET
SBI ETF Nifty 50,166,216,,https://www.tickertape.in/etfs/sbi-nifty-50-etf-SBFP
SBI ETF Nifty Bank,381,471,,https://www.tickertape.in/etfs/sbi-nifty-bank-etf-SBIF
SBI ETF PRIVATE BANK,196,242,,https://www.tickertape.in/etfs/sbi-etf-bank-SBIE
SBI Nifty Next 50,385,490,,https://www.tickertape.in/etfs/sbi-nifty-next-50-etf-SBIN
Tata Nifty Exchange Traded Fund,171,218,,https://www.tickertape.in/etfs/tata-nifty-50-etf-TATN?chartScope=1y
UTI-Nifty Exchange Traded Fund,21,243,,https://www.tickertape.in/etfs/uti-nifty-50-etf-UTIN?chartScope=1y
UTI Nifty Bank ETF,37,54,,https://www.tickertape.in/etfs/uti-nifty-next-50-etf-UTII?chartScope=1y
UTI Bank ETF,38,49,,https://www.tickertape.in/etfs/uti-bank-etf-UTIB?chartScope=1y
UTI-Sensex Exchange Traded Fund,526.7,811,,https://www.tickertape.in/etfs/uti-sensex-30-etf-UTIS?chartScope=1y
UTI S&P BSE Sensex Next 50 ETF,40,62,,https://www.tickertape.in/etfs/uti-sensex-next-50-etf-UTIP?chartScope=1y
Nippon india etf psu bank bees,31,61,,https://www.tickertape.in/etfs/nippon-india-nifty-psu-bank-bees-etf-PSUB
